participant_id,start,end,text,speaker,source_type,main_phase,sub_phase
1,0,0,Language level are clean,Speaker 1,Observation Note,Pre-Phase / General,
1,0,0,Struggles: Which things do I select,Speaker 1,Observation Note,Pre-Phase / General,
1,0,0,Makes bullet points in text field,Speaker 1,Observation Note,Pre-Phase / General,
1,0,0,Nice to have the record button,Speaker 1,Observation Note,Warmup,
1,0,0,Uses tutor if being lost,Speaker 1,Observation Note,Warmup,
1,0,0,Was looking a bit to get out of tutor mode,Speaker 1,Observation Note,Warmup,
1,0,0,Tends to ask the tutor as a quick fix for uncertain situations,Speaker 1,Observation Note,Warmup,
1,0,0,Has the impression that AI is bad at referencing past messages,Speaker 1,Observation Note,Warmup,
1,0,0,Tutor references the wrong message  P. tried to just copy and paste the message,Speaker 1,Observation Note,Warmup,
1,0,0,"Likes the tutor, also the format",Speaker 1,Observation Note,Warmup,
1,0,0,Uses tutor very intensely,Speaker 1,Observation Note,Warmup,
1,0,0,"Asks questions about pronunciation, which the ai can’t answer in audio",Speaker 1,Observation Note,Warmup,
1,0,0,Has difficulties to do it without the hints,Speaker 1,Observation Note,Warmup,
1,0,0,"AI misunderstood P. but he thought, that he mispronounced it",Speaker 1,Observation Note,Warmup,
1,0,0,Really likes the hint function,Speaker 1,Observation Note,Warmup,Partner explained something in Spanish instead of English
1,0,0,"Does not understand the red highlight, what the mistake was",Speaker 1,Observation Note,Warmup,Partner explained something in Spanish instead of English
1,0,0,Really likes that its spoken audio and that there are explanations in the partner message,Speaker 1,Observation Note,Warmup,Partner explained something in Spanish instead of English
1,0,0,Tried to do it intuitively,Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,Overread that he has to do the task,Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,Doesn’t know how fast he could do it without the hint,Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,"When realizing there are hints, switched from tutor to using hints  Were really good",Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,Got into it after a few messages,Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,"Felt good: Corrections were woven into the responses, felt like he was learning with a partner",Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,Tried to give it his own touch,Speaker 1,Observation Note,Warmup,Think Aloud
1,0,0,Thought app crashed because of loading animation,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Like the cite,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Aha moment with musica,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Looking for option to save the feedback,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Vocabulary very practical,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Feels like the summary items are saved in the app,Speaker 1,Observation Note,Warmup,Summary
1,0,0,Good in general,Speaker 1,Observation Note,Warmup,Summary
1,0,0,"But reading the updates feels a bit frustrating to see, because it lists so many weak points",Speaker 1,Observation Note,Warmup,Summary
1,0,0,"Wanted to check the hint, but oversaw that now it’s the solution",Speaker 1,Observation Note,Chat 1,
1,0,0,Tends to use the hint when unsure,Speaker 1,Observation Note,Chat 1,
1,0,0,"Ai skipped one task, then the AI continued but was confused",Speaker 1,Observation Note,Chat 1,
1,0,0,Tends to use only the hint/solution without adding extra content,Speaker 1,Observation Note,Chat 1,
1,0,0,Reads the summary very carefully,Speaker 1,Observation Note,Chat 1,Summary
1,0,0,Connection issue in the beginning of the convo,Speaker 1,Observation Note,Chat 2,
1,0,0,Got a personalized explanation,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
1,0,0,Reconnection error,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
1,0,0,For abblino:,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
1,0,0,Always have pronunciation option for all messages,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
1,0,0,Hint feature,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
1,0,0,Offer a translation of the messages,Speaker 1,Observation Note,Chat 2,"Partner made a joke, P. had to laugh"
2,0,0,Likes the design,Speaker 1,Observation Note,Onboarding,
2,0,0,Lots of text @level,Speaker 1,Observation Note,Onboarding,
2,0,0,Likes the progress bar,Speaker 1,Observation Note,Onboarding,
2,0,0,Likes that the app asks his struggles,Speaker 1,Observation Note,Onboarding,
2,0,0,Likes that its an age range,Speaker 1,Observation Note,Onboarding,
2,0,0,Likes the partner customization,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Taps on play button but no sound,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Warm-up:,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Audio understanding had difficulties from background noise,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Wanted to use text input,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,"Would be nice to still see tutor responds in normal chat, otherwise you have to memorize what he said",Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Would be nice to have voice input in the tutor mode,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Common flow: Partner response  Ask tutor how to respond  Say answer,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Noticed that the speech recognition continue when toggling tutor mode,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Can’t scroll up the chat  Bad UX,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Voice sounds very natural  Likes it very much,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Asks if he can see the mistake explanations in the chat,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Speech recognition works really well,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Retrospective:,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Intuitive,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,But felt like he was lacking Spanish skills,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Couldn’t see tutor message when answering so it was a bit overwhelming,Speaker 1,Observation Note,Onboarding,Partner
2,0,0,Likes the quote,Speaker 1,Observation Note,Onboarding,Summary
2,0,0,Make the tab structure more visible  Was not clear that you can toggle,Speaker 1,Observation Note,Onboarding,Summary
2,0,0,Likes that he remembers/gave a short summary,Speaker 1,Observation Note,Onboarding,Summary
2,0,0,Finds it cool that you can see the updates and that he feels like the partner memorizes stuff about him,Speaker 1,Observation Note,Onboarding,Summary
2,0,0,Important: Thought that there were 10 tasks in the menu,Speaker 1,Observation Note,Onboarding,Summary
2,0,0,Likes that the tutor used his name,Speaker 1,Observation Note,Chat 1,
2,0,0,Finds it very motivating that the STT is very accurate and high performance,Speaker 1,Observation Note,Chat 1,
2,0,0,Would be nice to see what the tutor recommended to say,Speaker 1,Observation Note,Chat 1,Partner sometimes gives the tutor tip in Spanish instead of English  Then P. uses the tutor to ask what he said
2,0,0,Noticed the task list view only by accident  Is not obvious,Speaker 1,Observation Note,Chat 1,Partner tends to say Moritz in every message
2,0,0,Tends to open the hint/solution while recording the audio to read from the hints,Speaker 1,Observation Note,Chat 2,
2,0,0,Says he really likes it and feels like he makes progress,Speaker 1,Observation Note,Chat 2,
2,0,0,Doesn’t make so many mistakes because he uses the hints/tutor mode,Speaker 1,Observation Note,Chat 2,Partner gave an in depth correction
3,0,0,Asks if the level is what she has on paper or how she would rate herself now,Speaker 1,Observation Note,Onboarding,
3,0,0,Creates someone that looks like her,Speaker 1,Observation Note,Onboarding,Partner
3,0,0,Reconnecting issue,Speaker 1,Observation Note,Warmup,
3,0,0,Is unsure if she has to press to record,Speaker 1,Observation Note,Warmup,
3,0,0,"Very fast answer, was almost shocked",Speaker 1,Observation Note,Warmup,
3,0,0,Voice sounded very natural and fluent,Speaker 1,Observation Note,Warmup,
3,0,0,Did not recognize that she solved the task,Speaker 1,Observation Note,Warmup,
3,0,0,"Really liked that the partner corrected her, meta cognitively",Speaker 1,Observation Note,Warmup,Partner showed hole context
3,0,0,Giving alternatives and the use case for them,Speaker 1,Observation Note,Warmup,Partner showed hole context
3,0,0,The immediate answer was very helpful,Speaker 1,Observation Note,Warmup,Partner showed hole context
3,0,0,Really liked the text highlights,Speaker 1,Observation Note,Warmup,Partner showed hole context
3,0,0,What does words learned mean,Speaker 1,Observation Note,Warmup,Summary
3,0,0,Likes the vocabulary list,Speaker 1,Observation Note,Warmup,Summary
3,0,0,Very clean and structured,Speaker 1,Observation Note,Warmup,Summary
