uid;language;level;ageRange;mothertongue;interests;difficulties;gender;fieldOfWork;spokenLanguages;learningGoal;learningTools
3d3fad0c-f4e2-491f-97b3-95c71b7c6723;es;a1;26-29;de;['Food & Cooking', 'Technology', 'Music', 'Travel', 'Science'];['Gendered Nouns', 'Grammar Rules', 'Idioms & Expressions', 'Sentence Structure', 'Verb Conjugations'];male;Software Engineering;['English', 'French'];"- establish a solid basis in conversation
- basic conversation skills while traveling";['Other language apps', 'Music', 'Videos']
700afe5f-e6dc-4191-9ffc-2d540d21780d;es;a1;22-25;de;['Music', 'History', 'Science', 'Gaming', 'Books & Literature'];['Fear of Speaking', 'Vocabulary'];male;Student;['English', 'French', 'Dutch'];I want to be able to speak fluently in my next vacation;['Duolingo', 'Other language apps', 'Videos', 'Classes']
071b323f-15a1-4f26-8510-9a857540cf04;es;a2;22-25;de;['Music', 'Sports', 'Food & Cooking', 'Fashion'];['Vocabulary', 'Pronunciation', 'Sentence Structure'];female;Teacher;['English', 'Spanish', 'French'];I want to feel comfortable when speaking because I think the best way to learn about a new culture is when you are able to speak their language.;['Classes']
ecd6e48c-d160-4ad1-b576-772aee78a77a;es;a1;22-25;dari;['Travel', 'Music', 'Movies & TV', 'Nature', 'Science'];['Fear of Speaking', 'Gendered Nouns', 'Idioms & Expressions'];female;Student;['English', 'German'];I want to speak fluently in spanish whenever I am travelling in spain;['Duolingo', 'Music']
f21ef8da-e2e6-4a07-b757-2c2b8caa13df;es;a1;22-25;de;['Food & Cooking', 'Travel', 'Music', 'Sports', 'Science'];['Vocabulary', 'Verb Conjugations', 'Sentence Structure'];female;Student;['English', 'French'];In some ideal future, I want to move back to Madrid :);['Duolingo', 'Other language apps', 'Videos']
2dbd9cc6-7d1f-4b50-9dc4-f22ba6c4aa09;es;a2;34-37;de;['Music', 'Technology', 'Business', 'Nature', 'Health & Fitness'];['Vocabulary', 'Verb Conjugations', 'Grammar Rules', 'Listening Comprehension'];male;Production Engineering;['Spanish', 'English', 'Portuguese'];I want to have simple conversations in spanish;['Classes', 'Duolingo', 'Videos', 'Peliculas']
4ddbf84b-633f-49e1-9412-e52629d7eb1e;es;a1;26-29;de;['Music', 'Food & Cooking', 'Gaming', 'Movies & TV', 'Nature'];['Vocabulary', 'Verb Conjugations', 'Fear of Speaking', 'Sentence Structure', 'Gendered Nouns'];female;Student;['Polish'];"Zu testen wie weit mein Spanisch noch funktioniert bzw o ich sehr eingerostet bin. 
Ziel: mehr sprechen zu können im Gegensatz zu jetzt";['Duolingo', 'Classes']
28ea6a5b-7ea9-41b2-851c-1317b0df0019;es;a1;26-29;de;['Travel', 'Music', 'Sports', 'Science', 'History'];['Idioms & Expressions', 'Grammar Rules', 'Vocabulary', 'Verb Conjugations', 'Listening Comprehension'];male;Consulting;['Arabic', 'Mandarin Chinese', 'English', 'French', 'Spanish', 'Portuguese'];Become fluent in Spanish;['Duolingo', 'Classes', 'Videos', 'Music', 'Texts']
05e5bd34-f2d8-4a3d-9453-e9f413cdfcf7;es;a2;18-21;de;['Music', 'History', 'Science', 'Gaming', 'Technology'];['Vocabulary', 'Verb Conjugations', 'Idioms & Expressions'];male;Student;['Spanish', 'English'];I want to be able to fluently speak Spanish in everyday situations.;['Duolingo']
cd83ed7e-57d0-4ec5-8210-5acbbe5accae;es;a1;26-29;de;['Music', 'Movies & TV', 'Nature', 'Gaming', 'Health & Fitness'];['Vocabulary', 'Grammar Rules', 'Pronunciation'];male;Educational Science;['English', 'Norwegian'];Gespräche im Alltag souverän führen können.;['Duolingo', 'Videos']
af32f0e9-f534-424a-9273-029dd49ac79f;es;a2;26-29;de;['Technology', 'Science', 'Health & Fitness', 'History', 'Movies & TV'];['Fear of Speaking', 'Vocabulary', 'Listening Comprehension', 'Idioms & Expressions', 'Verb Conjugations'];male;Data Science;['Spanish', 'English', 'Albanian'];I want to be able to make international friends and have meaningful conversations with them.;['Duolingo', 'Other language apps', 'Videos', 'Music']
71a109a5-6e81-44b3-b77f-531237e1c7d2;es;a1;30-33;de;['Travel', 'Movies & TV', 'Books & Literature', 'Food & Cooking', 'Nature'];['Fear of Speaking', 'Grammar Rules', 'Listening Comprehension', 'Pronunciation', 'Vocabulary'];female;Law;['English', 'Turkish', 'Dutch', 'Latin'];Fluent conversation during travelling;['Duolingo', 'Videos']
1102ec51-1323-4617-bb60-7fe36ea9f85d;es;a1;30-33;de;['Sports', 'Music', 'Travel', 'Nature', 'Food & Cooking'];['Verb Conjugations', 'Grammar Rules'];male;Police Officer;['English'];Ich möchte Grundkenntnisse in Spanisch erlernen, da ich sehr gerne reise und mich mit den Menschen verständigen möchte;['Duolingo', 'Videos', 'Music']
a8ca69a9-9e73-47df-be37-9dab3392595d;es;a2;18-21;de;['Sports', 'Travel', 'Food & Cooking'];['Pronunciation', 'Idioms & Expressions', 'Listening Comprehension'];female;Student;['English', 'Spanish', 'French'];I want to have a fluent conversation while travelling and with some spanish speaking friends.;['Duolingo', 'Classes']
27f0896f-c214-4a26-9e54-4e19d62bec64;es;a1;30-33;de;['Technology', 'Travel', 'Sports', 'Health & Fitness'];['Grammar Rules', 'Fear of Speaking', 'Vocabulary', 'Verb Conjugations'];male;Student;['English'];I would like to understand basics of teh spanish langugae so for example during traveling  through spanish countries I would like to be abel to have basic conversations with local... For example ask r;['Classes']
07b48e26-7e7e-4c74-961a-ff0dd3a17e93;es;a2;34-37;de;['Travel', 'Food & Cooking', 'Nature', 'Health & Fitness', 'Sports'];['Listening Comprehension', 'Grammar Rules'];female;Credit Advisor;['English', 'Spanish'];Flüssiges Sprechen - Smalltalk;['Classes']
968e4287-d2a1-463b-8d29-2c988d067ffa;es;a1;26-29;albanian;['Travel', 'Sports', 'Food & Cooking', 'Science', 'Books & Literature'];['Vocabulary', 'Grammar Rules', 'Verb Conjugations', 'Gendered Nouns'];female;Student;['English', 'Spanish', 'German'];I want to discuss about topics with my spanish friends;['Music', 'Videos', 'Texts']
3a5fd1cb-6675-4785-9c01-9934794fc7eb;es;a1;22-25;de;['Technology', 'Science', 'Food & Cooking', 'Nature'];['Verb Conjugations', 'Grammar Rules', 'Listening Comprehension', 'Idioms & Expressions', 'Sentence Structure'];female;Student;['English'];I want to be able to communicate with at least hands and feet when travelin gto a Spanish country.;['Classes', 'Videos']
342098c3-37fc-4ee6-8e45-b8c2247ca50c;es;a1;26-29;de;['Sports', 'Music', 'Science', 'Food & Cooking', 'Travel'];['Vocabulary'];male;Student;['English', 'French'];Read a Book;['Other language apps']
029df5a6-c0ca-41d9-8c3f-da05543cef44;es;a1;26-29;de;['Travel', 'Food & Cooking', 'Movies & TV'];['Vocabulary', 'Fear of Speaking', 'Grammar Rules', 'Sentence Structure', 'Listening Comprehension'];female;Educational Science;['English', 'Turkish', 'Dutch'];I want to trust myself more to speak in public and I want to have at least B2.;['Duolingo', 'Music']
