ID;uid;Group
1;3d3fad0c-f4e2-491f-97b3-95c71b7c6723;control_first
2;700afe5f-e6dc-4191-9ffc-2d540d21780d;experiment_first
3;071b323f-15a1-4f26-8510-9a857540cf04;experiment_first
4;ecd6e48c-d160-4ad1-b576-772aee78a77a;control_first
5;f21ef8da-e2e6-4a07-b757-2c2b8caa13df;experiment_first
6;2dbd9cc6-7d1f-4b50-9dc4-f22ba6c4aa09;control_first
7;4ddbf84b-633f-49e1-9412-e52629d7eb1e;experiment_first
8;28ea6a5b-7ea9-41b2-851c-1317b0df0019;experiment_first
9;05e5bd34-f2d8-4a3d-9453-e9f413cdfcf7;control_first
10;cd83ed7e-57d0-4ec5-8210-5acbbe5accae;control_first
11;af32f0e9-f534-424a-9273-029dd49ac79f;experiment_first
12;71a109a5-6e81-44b3-b77f-531237e1c7d2;control_first
13;1102ec51-1323-4617-bb60-7fe36ea9f85d;control_first
14;a8ca69a9-9e73-47df-be37-9dab3392595d;experiment_first
15;27f0896f-c214-4a26-9e54-4e19d62bec64;experiment_first
16;07b48e26-7e7e-4c74-961a-ff0dd3a17e93;experiment_first
17;968e4287-d2a1-463b-8d29-2c988d067ffa;control_first
18;3a5fd1cb-6675-4785-9c01-9934794fc7eb;control_first
19;342098c3-37fc-4ee6-8e45-b8c2247ca50c;experiment_first
20;029df5a6-c0ca-41d9-8c3f-da05543cef44;control_first
