Zeitstempel;PID;1_1;1_2;1_3;1_4;1_5;1_6;1_7;1_8;1_9;1_10;1_11;1_12;1_13;1_14;1_15;1_16;1_17;1_18;1_19;1_20;1_21;1_22;1_23;1_24;1_25;1_26;2_1;2_2;2_3;2_4;2_5;2_6;2_7;2_8;2_9;2_10;2_11;2_12;2_13;2_14;2_15;2_16;2_17;2_18;2_19;2_20;2_21;2_22;2_23;2_24;2_25;2_26
2026/05/27 7:56:57 PM OESZ;1;7;7;3;1;1;7;7;4;3;1;7;1;6;7;6;7;4;1;1;6;1;7;1;1;1;7;7;7;1;2;1;7;7;6;2;1;7;1;7;7;6;7;4;1;1;7;1;7;1;1;1;7
2026/05/28 9:31:45 PM OESZ;2;7;3;3;2;1;7;7;6;3;1;5;1;4;6;6;7;1;1;1;6;3;7;5;3;1;7;6;3;3;1;1;7;7;5;3;1;7;1;5;7;7;7;3;1;1;7;3;7;1;2;1;7
2026/05/29 12:44:13 PM OESZ;3;7;7;3;2;2;5;6;5;4;6;6;2;6;6;3;6;3;2;2;6;2;6;1;2;1;6;6;5;2;2;2;6;6;4;4;3;6;2;3;6;3;6;3;2;2;6;2;6;2;2;1;5
2026/06/01 11:07:43 AM OESZ;4;6;4;3;2;1;6;6;3;1;6;6;2;3;5;4;6;2;1;3;5;3;5;3;4;3;2;5;5;4;3;3;5;7;6;1;6;7;1;4;7;5;6;2;2;3;5;3;7;2;3;1;5
2026/06/04 10:46:50 AM OESZ;5;6;6;2;1;1;5;5;6;4;3;6;1;4;6;4;7;1;1;1;6;1;6;3;3;1;5;5;5;2;3;1;6;6;5;4;3;6;1;3;6;5;6;2;2;2;5;2;6;4;2;1;2
2026/06/04 12:13:52 PM OESZ;6;5;5;3;3;2;6;6;4;2;7;7;1;6;6;2;5;1;1;1;5;5;2;4;1;1;7;1;7;6;1;6;1;1;7;4;7;5;4;5;4;2;4;1;3;5;3;5;2;5;5;7;6
2026/06/04 2:14:21 PM OESZ;7;6;6;2;2;2;6;7;7;3;2;6;2;5;5;6;6;2;2;2;6;3;6;2;2;2;4;4;4;2;3;2;6;6;6;3;2;5;2;4;6;6;6;2;2;2;5;4;6;3;3;1;6
2026/06/06 12:13:38 PM OESZ;8;7;7;1;3;1;6;7;3;4;2;7;1;5;7;2;7;2;2;1;7;7;7;1;1;1;3;7;7;1;1;1;7;7;3;3;1;7;1;7;7;5;7;1;1;1;7;2;7;1;1;1;4
2026/06/07 9:02:57 PM OESZ;9;7;5;3;2;1;6;6;6;1;6;7;1;5;6;2;6;1;4;1;7;1;6;2;4;1;2;4;6;3;1;1;5;5;6;4;4;6;2;3;6;2;7;4;3;1;6;2;7;5;4;2;4
2026/06/08 3:32:22 PM OESZ;10;5;7;3;2;1;5;5;7;4;4;7;2;5;5;2;6;3;2;2;5;3;6;2;2;1;5;5;6;1;2;2;6;7;3;4;5;6;2;5;6;3;7;4;1;2;5;4;6;4;2;1;5
2026/06/08 7:09:34 PM OESZ;11;7;7;3;2;1;5;5;4;4;5;7;1;5;7;2;7;2;3;1;7;2;7;1;3;2;4;6;7;1;2;1;6;6;6;4;3;7;1;6;7;3;7;1;2;1;7;1;7;1;3;1;5
2026/06/10 7:55:22 PM OESZ;12;5;5;4;5;2;5;4;4;2;2;5;2;3;6;2;4;4;3;4;5;3;5;2;3;1;5;6;6;2;3;2;5;6;5;3;2;6;2;5;6;6;5;2;2;3;5;2;5;2;3;2;6
2026/06/10 9:40:29 PM OESZ;13;7;7;1;1;1;7;7;1;2;2;7;1;7;6;6;7;2;1;1;7;1;7;2;1;1;6;7;7;1;1;1;7;7;2;2;2;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
2026/06/11 10:28:02 PM OESZ;14;5;6;1;1;3;6;7;5;2;1;6;2;6;6;5;6;3;2;2;7;4;5;2;2;1;6;5;6;1;2;3;7;7;5;2;2;6;2;6;6;6;6;2;1;2;6;2;5;3;2;1;7
2026/06/12 10:54:41 PM OESZ;15;7;6;5;6;7;6;7;6;4;4;7;2;6;5;6;7;2;1;1;6;1;7;1;1;1;7;4;5;3;3;3;5;6;5;3;3;5;2;4;6;5;5;2;3;3;5;2;6;2;2;2;5
2026/06/13 2:20:42 PM OESZ;16;6;7;2;2;2;6;6;5;1;4;7;1;5;7;4;7;1;1;1;7;1;7;2;1;1;6;6;7;3;1;1;6;6;6;2;2;7;1;4;7;5;6;2;1;1;7;1;7;2;2;1;6
2026/06/15 8:17:11 PM OESZ;17;7;7;1;1;1;7;7;4;1;1;7;1;7;6;7;7;1;1;1;7;1;7;1;1;1;7;7;7;1;1;1;7;7;4;1;1;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
2026/06/16 7:50:47 PM OESZ;18;5;3;2;5;2;5;5;5;2;1;7;1;2;7;6;6;5;1;1;7;5;6;1;1;1;7;6;6;1;2;1;6;6;5;2;6;7;1;4;6;6;7;3;1;1;6;1;6;1;1;1;5
2026/06/16 9:58:18 PM OESZ;19;7;3;3;3;1;6;5;6;3;7;6;1;4;6;2;7;1;3;2;7;1;6;2;4;2;3;7;7;5;2;1;3;3;4;4;5;7;1;5;7;3;7;1;1;1;7;1;7;1;4;1;3
2026/06/21 7:27:06 PM OESZ;20;2;7;2;4;1;5;5;2;1;2;7;1;4;7;3;5;1;1;3;5;4;6;2;2;1;6;7;7;1;1;1;7;7;7;1;1;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
