pid;group;iteration;variant;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
1;control_first;1;control;7;7;3;1;1;7;7;4;3;1;7;1;6;7;6;7;4;1;1;6;1;7;1;1;1;7
1;control_first;2;experiment;7;7;1;2;1;7;7;6;2;1;7;1;7;7;6;7;4;1;1;7;1;7;1;1;1;7
2;experiment_first;1;experiment;7;3;3;2;1;7;7;6;3;1;5;1;4;6;6;7;1;1;1;6;3;7;5;3;1;7
2;experiment_first;2;control;6;3;3;1;1;7;7;5;3;1;7;1;5;7;7;7;3;1;1;7;3;7;1;2;1;7
3;experiment_first;1;experiment;7;7;3;2;2;5;6;5;4;6;6;2;6;6;3;6;3;2;2;6;2;6;1;2;1;6
3;experiment_first;2;control;6;5;2;2;2;6;6;4;4;3;6;2;3;6;3;6;3;2;2;6;2;6;2;2;1;5
4;control_first;1;control;6;4;3;2;1;6;6;3;1;6;6;2;3;5;4;6;2;1;3;5;3;5;3;4;3;2
4;control_first;2;experiment;5;5;4;3;3;5;7;6;1;6;7;1;4;7;5;6;2;2;3;5;3;7;2;3;1;5
5;experiment_first;1;experiment;6;6;2;1;1;5;5;6;4;3;6;1;4;6;4;7;1;1;1;6;1;6;3;3;1;5
5;experiment_first;2;control;5;5;2;3;1;6;6;5;4;3;6;1;3;6;5;6;2;2;2;5;2;6;4;2;1;2
6;control_first;1;control;5;5;3;3;2;6;6;4;2;7;7;1;6;6;2;5;1;1;1;5;5;2;4;1;1;7
6;control_first;2;experiment;1;7;6;1;6;1;1;7;4;7;5;4;5;4;2;4;1;3;5;3;5;2;5;5;7;6
7;experiment_first;1;experiment;6;6;2;2;2;6;7;7;3;2;6;2;5;5;6;6;2;2;2;6;3;6;2;2;2;4
7;experiment_first;2;control;4;4;2;3;2;6;6;6;3;2;5;2;4;6;6;6;2;2;2;5;4;6;3;3;1;6
8;experiment_first;1;experiment;7;7;1;3;1;6;7;3;4;2;7;1;5;7;2;7;2;2;1;7;7;7;1;1;1;3
8;experiment_first;2;control;7;7;1;1;1;7;7;3;3;1;7;1;7;7;5;7;1;1;1;7;2;7;1;1;1;4
9;control_first;1;control;7;5;3;2;1;6;6;6;1;6;7;1;5;6;2;6;1;4;1;7;1;6;2;4;1;2
9;control_first;2;experiment;4;6;3;1;1;5;5;6;4;4;6;2;3;6;2;7;4;3;1;6;2;7;5;4;2;4
10;control_first;1;control;5;7;3;2;1;5;5;7;4;4;7;2;5;5;2;6;3;2;2;5;3;6;2;2;1;5
10;control_first;2;experiment;5;6;1;2;2;6;7;3;4;5;6;2;5;6;3;7;4;1;2;5;4;6;4;2;1;5
11;experiment_first;1;experiment;7;7;3;2;1;5;5;4;4;5;7;1;5;7;2;7;2;3;1;7;2;7;1;3;2;4
11;experiment_first;2;control;6;7;1;2;1;6;6;6;4;3;7;1;6;7;3;7;1;2;1;7;1;7;1;3;1;5
12;control_first;1;control;5;5;4;5;2;5;4;4;2;2;5;2;3;6;2;4;4;3;4;5;3;5;2;3;1;5
12;control_first;2;experiment;6;6;2;3;2;5;6;5;3;2;6;2;5;6;6;5;2;2;3;5;2;5;2;3;2;6
13;control_first;1;control;7;7;1;1;1;7;7;1;2;2;7;1;7;6;6;7;2;1;1;7;1;7;2;1;1;6
13;control_first;2;experiment;7;7;1;1;1;7;7;2;2;2;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
14;experiment_first;1;experiment;5;6;1;1;3;6;7;5;2;1;6;2;6;6;5;6;3;2;2;7;4;5;2;2;1;6
14;experiment_first;2;control;5;6;1;2;3;7;7;5;2;2;6;2;6;6;6;6;2;1;2;6;2;5;3;2;1;7
15;experiment_first;1;experiment;7;6;5;6;7;6;7;6;4;4;7;2;6;5;6;7;2;1;1;6;1;7;1;1;1;7
15;experiment_first;2;control;4;5;3;3;3;5;6;5;3;3;5;2;4;6;5;5;2;3;3;5;2;6;2;2;2;5
16;experiment_first;1;experiment;6;7;2;2;2;6;6;5;1;4;7;1;5;7;4;7;1;1;1;7;1;7;2;1;1;6
16;experiment_first;2;control;6;7;3;1;1;6;6;6;2;2;7;1;4;7;5;6;2;1;1;7;1;7;2;2;1;6
17;control_first;1;control;7;7;1;1;1;7;7;4;1;1;7;1;7;6;7;7;1;1;1;7;1;7;1;1;1;7
17;control_first;2;experiment;7;7;1;1;1;7;7;4;1;1;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
18;control_first;1;control;5;3;2;5;2;5;5;5;2;1;7;1;2;7;6;6;5;1;1;7;5;6;1;1;1;7
18;control_first;2;experiment;6;6;1;2;1;6;6;5;2;6;7;1;4;6;6;7;3;1;1;6;1;6;1;1;1;5
19;experiment_first;1;experiment;7;3;3;3;1;6;5;6;3;7;6;1;4;6;2;7;1;3;2;7;1;6;2;4;2;3
19;experiment_first;2;control;7;7;5;2;1;3;3;4;4;5;7;1;5;7;3;7;1;1;1;7;1;7;1;4;1;3
20;control_first;1;control;2;7;2;4;1;5;5;2;1;2;7;1;4;7;3;5;1;1;3;5;4;6;2;2;1;6
20;control_first;2;experiment;7;7;1;1;1;7;7;7;1;1;7;1;7;7;7;7;1;1;1;7;1;7;1;1;1;7
